date,customer,talk
2/10/2018,0,11.65
4/10/2018,0,2.3
9/10/2018,1,6.333333333
11/10/2018,0.5,3.733333333
12/10/2018,0.5,10.18333333
15/10/2018,0.5,1.866666667
16/10/2018,0,2.666666667
18/10/2018,0.5,32.26666667
19/10/2018,1,5.3
23/10/2018,0,5.466666667
24/10/2018,0,7.816666667
25/10/2018,0.5,11.81666667
31/10/2018,1,5.566666667
5/11/2018,0,2.616666667
6/11/2018,1,13.45
8/11/2018,0.5,6.566666667
9/11/2018,0,6.7
12/11/2018,1,5.283333333
13/11/2018,1,13.55
14/11/2018,0,1.116666667
15/11/2018,0.666666667,7.75
16/11/2018,1,5.066666667
20/11/2018,1,6.216666667
21/11/2018,0,6.35
22/11/2018,1,6.716666667
23/11/2018,1,1.066666667
26/11/2018,0,5.116666667
27/11/2018,1,0.25
28/11/2018,0.666666667,8.183333333
3/12/2018,0.5,3.9
4/12/2018,1,4.966666667
7/12/2018,1,2.666666667
10/12/2018,0.5,11.9
11/12/2018,1,2.05
12/12/2018,1,4.666666667
13/12/2018,1,3.483333333
14/12/2018,0,7.3
17/12/2018,0.5,10.83333333
18/12/2018,0,2.05
20/12/2018,1,6.233333333
24/12/2018,1,5.416666667
3/01/2019,0.5,6.55
4/01/2019,1,3.816666667
7/01/2019,0.5,5.666666667
8/01/2019,1,3.216666667
10/01/2019,1,11.05
11/01/2019,0.5,4.15
15/01/2019,1,10.11666667
16/01/2019,1,0.433333333
17/01/2019,0,4.65
21/01/2019,0,9.35
22/01/2019,0,11.36666667
23/01/2019,0,1.15
24/01/2019,0.5,6.55
25/01/2019,1,9.016666667
29/01/2019,0,4.783333333
30/01/2019,0.5,16.8
1/02/2019,0,8.316666667
4/02/2019,1,2.766666667
6/02/2019,1,1.516666667
8/02/2019,1,6.333333333
11/02/2019,1,4.9
13/02/2019,1,1.35
14/02/2019,0,3.466666667
18/02/2019,0.5,3.933333333
19/02/2019,1,9.116666667
20/02/2019,1,3.2
21/02/2019,0.5,5.566666667
22/02/2019,0.666666667,15.96666667
25/02/2019,1,7.3
26/02/2019,1,6.55
28/02/2019,1,5.033333333
1/03/2019,0.5,12.78333333
4/03/2019,0,7.583333333
5/03/2019,1,2.183333333
6/03/2019,0.75,19.1
8/03/2019,0,3.316666667
11/03/2019,1,8.033333333
12/03/2019,1,4.266666667
14/03/2019,0.75,33.53333333
15/03/2019,0,4.816666667
18/03/2019,1,3.733333333
19/03/2019,0.333333333,10.63333333
20/03/2019,0.5,5.683333333
21/03/2019,1,7.583333333
22/03/2019,0.333333333,11.68333333
26/03/2019,1,6.266666667
27/03/2019,1,1.75
28/03/2019,1,4.35
29/03/2019,0,29.33333333
1/04/2019,1,9.316666667
2/04/2019,1,4.583333333
3/04/2019,1,2.233333333
4/04/2019,1,1.883333333
5/04/2019,0,7.9
8/04/2019,0.333333333,6.033333333
9/04/2019,0.5,5.75
10/04/2019,0.75,10.76666667
11/04/2019,1,0.3
15/04/2019,0,10.81666667
16/04/2019,0.5,5.116666667
17/04/2019,0,5.866666667
18/04/2019,0,8.516666667
23/04/2019,0,6.716666667
29/04/2019,1,6.783333333
30/04/2019,0.5,16.05
2/05/2019,1,3.666666667
10/05/2019,1,6.25
13/05/2019,0.5,5.616666667
15/05/2019,0.333333333,9.483333333
16/05/2019,1,2.683333333
17/05/2019,0,2.25
20/05/2019,1,2.583333333
21/05/2019,1,7.05
22/05/2019,0.666666667,10.56666667
23/05/2019,1,7.716666667
28/05/2019,1,6.133333333
29/05/2019,0,11.56666667
31/05/2019,1,5.45
3/06/2019,0.333333333,11.66666667
4/06/2019,0.5,26.2
12/06/2019,0,2.233333333
13/06/2019,1,6.05
14/06/2019,0,12.28333333
17/06/2019,0,3.283333333
20/06/2019,0,2.3
21/06/2019,0,14.08333333
24/06/2019,0,2.816666667
26/06/2019,1,3.766666667
27/06/2019,0,6.216666667
28/06/2019,0,2.733333333
1/07/2019,1,2.75
2/07/2019,0,5.333333333
3/07/2019,1,8.583333333
4/07/2019,1,4.316666667
5/07/2019,1,10.58333333
9/07/2019,1,9.016666667
10/07/2019,1,8.05
12/07/2019,0,4.233333333
16/07/2019,1,6.65
17/07/2019,1,4.266666667
18/07/2019,1,5.066666667
19/07/2019,0,4.5
22/07/2019,0.5,6.316666667
24/07/2019,1,3.5
29/07/2019,1,6.383333333
30/07/2019,1,2.75
31/07/2019,1,12.06666667
1/08/2019,1,3.583333333
7/08/2019,0.666666667,15.95
8/08/2019,0,9.15
12/08/2019,1,1.383333333
13/08/2019,0.5,7.2
14/08/2019,1,2.733333333
15/08/2019,1,2.45
16/08/2019,1,2.116666667
19/08/2019,0,0.75
20/08/2019,0.5,10.1
21/08/2019,0.5,8.733333333
22/08/2019,0.5,7.65
26/08/2019,0.5,4.366666667
27/08/2019,1,3.183333333
28/08/2019,1,2.616666667
29/08/2019,0.333333333,7.85
30/08/2019,1,4.883333333
2/09/2019,0,2.25
3/09/2019,1,3.583333333
4/09/2019,0.5,6.316666667
9/09/2019,0,4.333333333
10/09/2019,0,5.866666667
12/09/2019,1,0.033333333
13/09/2019,0,7.083333333
16/09/2019,1,10.11666667
17/09/2019,1,6.216666667
18/09/2019,1,4.066666667
20/09/2019,1,7.166666667
24/09/2019,0,9.783333333
30/09/2019,0,2.483333333
1/10/2019,0,8.75
2/10/2019,0,4.45
3/10/2019,1,8.466666667
4/10/2019,0.5,7.916666667
7/10/2019,1,6.633333333
8/10/2019,1,3.933333333
9/10/2019,1,3.816666667
15/10/2019,1,5.55
16/10/2019,1,1.883333333
21/10/2019,0.666666667,8.466666667
22/10/2019,1,9.066666667
23/10/2019,1,2.15
24/10/2019,1,1.4
25/10/2019,1,9.45
28/10/2019,0,3.2
29/10/2019,0,1.55
30/10/2019,1,3.866666667
31/10/2019,1,8.583333333
4/11/2019,0.5,7.566666667
6/11/2019,0.5,2.733333333
7/11/2019,1,8.55
8/11/2019,0.5,4.916666667
11/11/2019,0,8.083333333
12/11/2019,1,6.633333333
13/11/2019,0.5,7.75
14/11/2019,1,5.216666667
15/11/2019,1,13.98333333
18/11/2019,0,10
20/11/2019,0,3.633333333
21/11/2019,1,4.216666667
26/11/2019,1,3.283333333
27/11/2019,0.666666667,13.78333333
28/11/2019,1,3.966666667
29/11/2019,1,15.71666667
3/12/2019,0.5,13.6
4/12/2019,1,2.6
5/12/2019,1,1.75
6/12/2019,0,2.766666667
10/12/2019,0.5,8.816666667
11/12/2019,1,18.58333333
12/12/2019,1,2.133333333
13/12/2019,1,12.1
16/12/2019,1,3.666666667
17/12/2019,0.75,39.63333333
18/12/2019,1,24.25
19/12/2019,0.75,9.616666667
20/12/2019,1,3.083333333
23/12/2019,1,2.95
24/12/2019,1,0.866666667
7/01/2020,1,5.15
8/01/2020,0,8.516666667
9/01/2020,1,4.516666667
10/01/2020,1,3.433333333
13/01/2020,1,5.816666667
14/01/2020,0.5,14.53333333
15/01/2020,0.666666667,12.61666667
20/01/2020,0.5,4.85
21/01/2020,1,4.2
22/01/2020,1,3.633333333
23/01/2020,1,20.1
24/01/2020,1,6.716666667
28/01/2020,0,2.55
29/01/2020,1,6.883333333
30/01/2020,1,3.8
31/01/2020,1,3.183333333
3/02/2020,0.5,13.75
4/02/2020,1,8.066666667
5/02/2020,1,5.133333333
6/02/2020,1,3.9
10/02/2020,1,3.15
11/02/2020,0.5,7.366666667
12/02/2020,1,5.866666667
13/02/2020,1,3.6
14/02/2020,1,2.85
18/02/2020,1,1.383333333
19/02/2020,0.5,6.433333333
20/02/2020,0,4.3
21/02/2020,0,2.733333333
24/02/2020,0,1.866666667
25/02/2020,1,1.15
26/02/2020,0,5.75
27/02/2020,1,7.9
28/02/2020,0,9
2/03/2020,0,7.516666667
3/03/2020,1,12.36666667
5/03/2020,0,2.383333333
6/03/2020,0.5,4.683333333
11/03/2020,0,5.2
12/03/2020,1,5.25
13/03/2020,0,2.166666667
16/03/2020,0.5,5.566666667
17/03/2020,0.333333333,11.03333333
19/03/2020,1,6.7
20/03/2020,0.5,8.033333333
23/03/2020,1,8.5
25/03/2020,1,4.8
26/03/2020,1,3.25
27/03/2020,1,2.95
30/03/2020,1,0.933333333
2/04/2020,0,3.833333333
3/04/2020,0.75,11.8
6/04/2020,0.5,8.2
7/04/2020,1,2.283333333
9/04/2020,0.75,9.683333333
14/04/2020,1,2.883333333
15/04/2020,1,11.56666667
16/04/2020,1,0.983333333
17/04/2020,1,0.15
20/04/2020,0.6,9.983333333
21/04/2020,1,4.933333333
22/04/2020,1,2.6
23/04/2020,1,4.15
24/04/2020,1,5.983333333
27/04/2020,1,3.016666667
28/04/2020,1,9.316666667
29/04/2020,1,6.066666667
30/04/2020,1,12.75
6/05/2020,0.666666667,33.03333333
7/05/2020,0.5,10.5
8/05/2020,1,2.983333333
11/05/2020,0,13.26666667
12/05/2020,0.333333333,6.9
13/05/2020,1,8.566666667
14/05/2020,1,3.966666667
18/05/2020,0,3.5
19/05/2020,1,12.35
20/05/2020,0,2.233333333
21/05/2020,0,7.9
22/05/2020,0.5,11.23333333
25/05/2020,0,6.066666667
26/05/2020,1,4.083333333
27/05/2020,0,3.3
29/05/2020,0.5,12.6
1/06/2020,0.5,6.55
2/06/2020,1,15.4
3/06/2020,0,4.4
4/06/2020,1,2.216666667
9/06/2020,0,2.416666667
12/06/2020,0,14.21666667
17/06/2020,0,4.883333333
18/06/2020,0,6.966666667
19/06/2020,1,6.266666667
22/06/2020,1,0.833333333
24/06/2020,1,10.2
25/06/2020,0,2.366666667
26/06/2020,0.333333333,10.93333333
3/07/2020,0,7.566666667
6/07/2020,0,3.716666667
8/07/2020,1,3.333333333
9/07/2020,1,8.916666667
10/07/2020,1,7.566666667
14/07/2020,0.5,7.983333333
16/07/2020,0.5,10.61666667
17/07/2020,0,7.066666667
20/07/2020,1,31.4
21/07/2020,0.5,6.833333333
22/07/2020,1,6.216666667
23/07/2020,1,6.716666667
28/07/2020,0,3.683333333
29/07/2020,1,9.983333333
30/07/2020,0,6.283333333
31/07/2020,0,4.083333333
5/08/2020,1,5.1
6/08/2020,1,3.183333333
11/08/2020,0,4.916666667
13/08/2020,0.5,5.383333333
14/08/2020,0.5,5.716666667
18/08/2020,0,9.9
20/08/2020,0.5,6.483333333
21/08/2020,1,3.5
24/08/2020,0.5,5.033333333
25/08/2020,1,1.433333333
26/08/2020,0.333333333,15.08333333
27/08/2020,0,7.166666667
1/09/2020,1,1.583333333
2/09/2020,1,6.383333333
3/09/2020,0.5,5.066666667
7/09/2020,0.4,24.21666667
9/09/2020,0.5,5.916666667
10/09/2020,0,2.533333333
11/09/2020,1,2.066666667
14/09/2020,1,5.15
17/09/2020,0.5,5.35
18/09/2020,0,8.85
22/09/2020,0.333333333,19.86666667
24/09/2020,0.5,14.25
25/09/2020,1,3.2
28/09/2020,1,5.7
29/09/2020,0,3.016666667
30/09/2020,0,8.4
1/10/2020,1,6.95
6/10/2020,0,6.083333333
7/10/2020,0.5,11.98333333
8/10/2020,0,6.4
9/10/2020,1,3.933333333
13/10/2020,0.5,27.08333333
14/10/2020,0,2.383333333
16/10/2020,0,5.766666667
21/10/2020,0,8.983333333
28/10/2020,0,3.433333333
29/10/2020,0,7.133333333
3/11/2020,0.5,4.283333333
4/11/2020,0.5,11.36666667
5/11/2020,1,12.25
6/11/2020,0.666666667,15.18333333
10/11/2020,0,4.016666667
12/11/2020,0,3.15
13/11/2020,0,5.4
17/11/2020,0.333333333,10.36666667
18/11/2020,0.75,23.91666667
20/11/2020,0,6.516666667
24/11/2020,1,2.566666667
25/11/2020,0,8.483333333
26/11/2020,0,8.483333333
30/11/2020,0,4.016666667
2/12/2020,1,4.183333333
3/12/2020,1,4.266666667
4/12/2020,1,3.233333333
7/12/2020,1,2.333333333
8/12/2020,1,7.833333333
11/12/2020,0,18.7
15/12/2020,0.5,15.41666667
16/12/2020,1,4.516666667
17/12/2020,1,6.6
18/12/2020,0,2.166666667
21/12/2020,0,1.666666667
22/12/2020,1,6.5
24/12/2020,1,1.933333333
6/01/2021,0,5.933333333
11/01/2021,0,7.683333333
13/01/2021,0,10.98333333
14/01/2021,0,5.016666667
18/01/2021,0.333333333,12.75
20/01/2021,0,4.166666667
21/01/2021,0,1.633333333
22/01/2021,0,4
27/01/2021,0,2.55
1/02/2021,0,2.833333333
3/02/2021,1,11.28333333
4/02/2021,0.666666667,8.15
5/02/2021,1,0.6
8/02/2021,1,2.9
12/02/2021,1,5
15/02/2021,0,5.066666667
16/02/2021,0.5,11.1
22/02/2021,0.5,8.683333333
26/02/2021,1,8
2/03/2021,0,4
3/03/2021,0.5,6.75
5/03/2021,1,4.583333333
9/03/2021,0,5.033333333
11/03/2021,0.5,34.9
12/03/2021,0,3.2
15/03/2021,1,4.166666667
17/03/2021,1,5.166666667
18/03/2021,1,12.65
19/03/2021,0,4.333333333
23/03/2021,1,5.166666667
24/03/2021,0.666666667,5.866666667
25/03/2021,0,3.566666667
1/04/2021,1,2.383333333
7/04/2021,0,8
8/04/2021,0,1.7
13/04/2021,0,2.6
16/04/2021,0.5,10.56666667
19/04/2021,1,11.61666667
20/04/2021,0.333333333,7.8
21/04/2021,0,2.583333333
22/04/2021,0.666666667,4.466666667
23/04/2021,0.75,15.08333333
27/04/2021,1,1.766666667
28/04/2021,0,1.5
29/04/2021,1,5.15
30/04/2021,0,3.333333333
11/05/2021,0,15.8
13/05/2021,0,4.3
17/05/2021,1,3.666666667
26/05/2021,1,5.316666667
27/05/2021,0.5,8.25
28/05/2021,0,0.583333333
2/06/2021,1,7.45
4/06/2021,0,6.916666667
8/06/2021,0,2.783333333
9/06/2021,0,5.5
11/06/2021,0,0.666666667
15/06/2021,0,1.15
17/06/2021,1,3.05
21/06/2021,0,2.95
22/06/2021,1,3.466666667
24/06/2021,0,5.6
