date,calls,abnd,att,awt,awtx Abnd ,YN
03/01/2017,1080,571,35.46666667,129.65,4.625995372,7
04/01/2017,529,146,50.38333333,95.73333333,0.772835648,9
05/01/2017,544,165,32.91666667,82.33333333,1.053819442,9
06/01/2017,488,91,43.75,54.11666667,0.389618055,16
09/01/2017,567,143,36.51666667,89.13333334,0.710775463,11
10/01/2017,438,65,30.93333333,36.31666667,0.230219908,10
11/01/2017,435,91,38.25,67.85,0.455613424,14
12/01/2017,475,84,32.3,46.51666667,0.322118056,12
13/01/2017,512,48,27.96666667,27.96666667,0.142314814,10
16/01/2017,604,222,32.98333333,91.45000001,1.456203703,10
17/01/2017,502,177,31.43333333,91.1,1.117152779,9
18/01/2017,498,121,37.61666667,74.55,0.708541668,11
19/01/2017,484,112,38.36666667,75.8,0.607245369,11
20/01/2017,510,108,37.25,67.2,0.525428241,13
23/01/2017,498,107,28.86666667,61.78333333,0.553287038,13
24/01/2017,387,60,26.83333333,27.01666667,0.155671297,11
25/01/2017,482,104,33.91666667,71.45,0.495648148,14
27/01/2017,566,110,26.7,50.15,4.53E-01,10
30/01/2017,563,181,46.08333333,102.6666667,1.28412037,10
31/01/2017,456,99,40.26666667,39.5,0.360023148,15
01/02/2017,470,121,53.61666667,100.4333333,0.66204861,11
02/02/2017,431,80,38.86666667,40.51666667,0.286041666,13
03/02/2017,487,135,34.98333333,76.61666667,0.792673612,9
06/02/2017,534,121,42.76666667,85.13333333,0.519143519,13
07/02/2017,421,72,34.56666667,43.13333333,0.304537037,13
08/02/2017,455,126,46.58333333,81.61666667,0.719976852,14
09/02/2017,469,123,36.03333333,77.68333333,0.632361111,15
10/02/2017,530,148,41.06666667,69.05,0.736527778,16
13/02/2017,577,247,34.75,111.0666667,1.904664352,6
15/02/2017,471,155,48.45,137.1,1.09E+00,9
16/02/2017,445,165,45.4,104.3833333,1.094988426,8
17/02/2017,532,204,46.68333333,134.4833333,1.643749999,6
20/02/2017,572,202,34.41666667,104.85,1.475925925,8
21/02/2017,471,133,30.48333333,69.05,0.699513888,10
22/02/2017,401,64,35.01666667,66.76666667,0.326145832,9
23/02/2017,581,234,31.78333333,124.0333333,1.774814815,8
24/02/2017,489,142,44.35,101.15,1.06289352,11
27/02/2017,631,293,38.28333333,152.1166667,2.482824074,6
28/02/2017,468,185,51.51666667,113.2,1.318900463,9
01/03/2017,450,48,44.41666667,53.51666667,0.12650463,15
02/03/2017,479,78,47.2,73.85,0.337060185,12
03/03/2017,484,126,24.26666667,78.19999999,0.7578125,10
06/03/2017,559,144,47.95,75.08333333,0.666284723,13
07/03/2017,432,89,27.05,45.98333333,0.349432871,11
08/03/2017,469,105,43.93333333,62.05000001,0.483564814,12
09/03/2017,466,88,32.23333333,67.25,0.345567131,14
10/03/2017,467,54,22.33333333,34.88333333,0.194224537,10
13/03/2017,479,83,37.23333333,53.41666667,0.257731482,15
14/03/2017,417,86,48.5,85.6,0.386388889,12
15/03/2017,467,126,37.18333333,76.53333334,0.578321758,12
16/03/2017,429,75,26.76666667,33.76666667,0.215729167,10
17/03/2017,482,111,30.58333333,74.1,0.442893519,14
20/03/2017,591,148,39.73333333,83.03333333,0.830543981,11
21/03/2017,461,62,36.5,44.63333333,0.208981482,12
22/03/2017,414,64,28.7,29.93333333,1.51E-01,11
23/03/2017,445,62,26.83333333,43.1,0.208055555,11
24/03/2017,537,148,40.2,101.4333333,0.75045139,14
27/03/2017,543,131,37.01666667,83.65,0.669652779,13
28/03/2017,428,54,27.65,25.15,0.147627317,12
30/03/2017,426,97,29.31666667,83.46666667,0.446967593,9
31/03/2017,432,71,33.98333333,43.03333333,0.282199073,13
03/04/2017,534,176,38.2,101.3333333,1.041932871,11
04/04/2017,459,106,35.88333333,80.81666667,0.518935185,12
05/04/2017,478,114,34,76.56666666,0.544537039,11
06/04/2017,521,111,25.56666667,69.73333333,0.458738427,16
07/04/2017,562,155,34.76666667,77.4,0.850243056,11
10/04/2017,554,182,36.56666667,100.7666667,1.306192129,10
11/04/2017,423,98,26,72.21666666,0.507037036,10
12/04/2017,539,181,25.6,93.76666667,1.216296297,12
13/04/2017,704,211,34.48333333,93.11666667,1.177222223,12
17/04/2017,4,4,0,2.366666667,0.002349537,3
18/04/2017,772,406,34.95,164.4166667,4.040671298,6
19/04/2017,586,266,40.15,193.3,2.458831018,7
20/04/2017,670,337,28.33333333,166.1,3.366759259,7
21/04/2017,753,447,33.93333333,220.1833333,5.752314814,4
24/04/2017,729,395,31.38333333,194.1333333,3.829618056,4
26/04/2017,702,432,28.05,132.9666667,4.238182871,6
27/04/2017,625,339,31.88333333,150.45,3.53920139,1
28/04/2017,603,281,30.2,148.65,2.755949074,3
01/05/2017,139,139,0,193.9166667,2.033819446,3
02/05/2017,672,325,27.28333333,133.6333333,3.359456018,4
03/05/2017,501,173,33.83333333,108.6666667,1.204247686,9
04/05/2017,583,177,26,95.95,1.19476852,10
05/05/2017,657,260,31.35,132.8,2.06556713,5
08/05/2017,663,346,38.76666667,184.9666667,3.308564812,5
09/05/2017,533,249,42.73333333,201.4666667,2.22775463,4
10/05/2017,508,236,27.93333333,118,1.98511574,7
11/05/2017,500,211,29.83333333,111.25,1.803900463,2
12/05/2017,595,240,47.1,132.15,1.823506942,6
15/05/2017,562,253,30,100.6833333,1.912743056,7
16/05/2017,458,166,29.96666667,89.25,1.102418982,9
